[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:17] 🚀 DUELING DOUBLE DQN + DUAL HEAD TRAINING
[2026-01-12 01:43:17]    Device: cuda
[2026-01-12 01:43:17]    Action Size: 8, Duration Size: 6
[2026-01-12 01:43:17]    Loss: action_loss + 0.2 * duration_loss
[2026-01-12 01:43:17]    Layer: 3, MaxSize: 2048, LR: 0.001
[2026-01-12 01:43:17]    Log File: DDDQN_DualHead_log_lr_0_001_L3_S2048.txt
[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:19] 
📊 Training started at 01:43:19
[2026-01-12 01:43:19] ------------------------------------------------------------
[2026-01-12 01:44:49] [Ep  2400] Goal:   0 | Seg: 1 | ε: 0.135 | Reward:   -151.5 | A_Loss: 27.231 | D_Loss: 27.206 | Speed: 24.7 ep/s | Avg Speed:  67.34 km/h | Time: 01:44:49
[2026-01-12 01:44:53] [Ep  2500] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -155.2 | A_Loss: 26.800 | D_Loss: 26.771 | Speed: 24.5 ep/s | Avg Speed:  68.01 km/h | Time: 01:44:53
[2026-01-12 01:44:57] [Ep  2600] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -153.7 | A_Loss: 27.122 | D_Loss: 27.103 | Speed: 24.3 ep/s | Avg Speed:  67.23 km/h | Time: 01:44:57
[2026-01-12 01:45:01] [Ep  2700] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -154.9 | A_Loss: 27.328 | D_Loss: 27.309 | Speed: 24.1 ep/s | Avg Speed:  66.44 km/h | Time: 01:45:01
[2026-01-12 01:45:05] [Ep  2800] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.4 | A_Loss: 27.060 | D_Loss: 27.047 | Speed: 24.7 ep/s | Avg Speed:  66.39 km/h | Time: 01:45:05
[2026-01-12 01:45:09] [Ep  2900] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -158.1 | A_Loss: 27.243 | D_Loss: 27.225 | Speed: 24.4 ep/s | Avg Speed:  65.56 km/h | Time: 01:45:09
[2026-01-12 01:45:14] [Ep  3000] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -157.4 | A_Loss: 27.556 | D_Loss: 27.537 | Speed: 24.7 ep/s | Avg Speed:  66.38 km/h | Time: 01:45:14
[2026-01-12 01:45:18] [Ep  3100] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -157.4 | A_Loss: 27.431 | D_Loss: 27.413 | Speed: 24.0 ep/s | Avg Speed:  67.41 km/h | Time: 01:45:18
[2026-01-12 01:45:22] [Ep  3200] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -153.0 | A_Loss: 28.200 | D_Loss: 28.189 | Speed: 24.8 ep/s | Avg Speed:  67.60 km/h | Time: 01:45:22
[2026-01-12 01:45:26] [Ep  3300] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -153.3 | A_Loss: 27.690 | D_Loss: 27.682 | Speed: 24.0 ep/s | Avg Speed:  67.07 km/h | Time: 01:45:26
